player_id,first_name,last_name,birthdate,height,weight,bats,throws,primary_position,other_positions,is_pitcher,role,preferred_pitching_role,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,durability,injured,ready
CAL-0030,Roman,Hejny,1998-03-15,72,221,L,L,3B,,0,,,55,50,45,52,51,57,51,50,46,50,,,,,,,,,,,,64,0,1
CAL-0031,Wendell,Preato,1993-02-15,75,212,L,L,SS,,0,,,44,50,61,48,52,46,48,50,42,43,,,,,,,,,,,,59,0,1
CAL-0032,Nicholas,Fogg,2003-09-15,74,203,R,R,LF,,0,,,44,49,51,49,55,56,39,50,35,57,,,,,,,,,,,,63,0,1
CAL-0033,Stanley,Doing,1992-06-15,71,219,L,L,CF,,0,,,57,44,60,53,46,53,52,50,43,48,,,,,,,,,,,,63,0,1
CAL-0034,Jamie,Galindo,2001-07-15,73,217,L,L,RF,,0,,,52,53,53,52,56,50,50,50,46,45,,,,,,,,,,,,78,0,1
CAL-0035,Michal,Scheule,1991-01-15,74,205,R,R,DH,,0,,,49,52,36,53,48,63,54,50,53,40,,,,,,,,,,,,53,0,1
CAL-0036,Dalton,Kautzman,1992-03-15,70,208,R,R,C,,0,,,44,36,38,43,48,57,45,50,56,55,,,,,,,,,,,,45,0,1
CAL-0037,Mariano,Allscheid,2001-03-15,74,201,L,L,2B,"SS,3B",0,,,48,42,47,42,51,54,55,50,41,44,,,,,,,,,,,,59,0,1
CAL-0038,James,Rahmes,2001-07-15,71,194,R,R,CF,"LF,RF",0,,,44,40,55,46,49,57,60,50,65,48,,,,,,,,,,,,62,0,1
CAL-0039,Miquel,Shirkey,1994-01-15,72,212,R,R,1B,DH,0,,,46,50,38,46,47,68,56,50,57,47,,,,,,,,,,,,57,0,1
CAL-0040,Henry,Jarrett,1994-08-15,72,181,L,L,P,,1,SP,SP,,,,,48,,55,,47,53,51,49,53,49,71,,61,43,,,,71,0,1
CAL-0041,Lester,Silliman,1993-05-15,73,216,R,R,P,,1,SP,SP,,,,,45,,53,,60,50,46,41,40,75,49,69,,54,,,,55,0,1
CAL-0042,Nigel,June,1992-02-15,71,207,R,R,P,,1,SP,SP,,,,,50,,44,,59,46,51,47,44,61,88,45,,55,,,,54,0,1
CAL-0043,Rich,Klukan,1994-06-15,74,220,L,L,P,,1,SP,SP,,,,,58,,47,,45,55,65,49,49,46,79,,63,57,,,,60,0,1
CAL-0044,Kirk,Moise,2002-05-15,73,197,L,L,P,,1,SP,SP,,,,,39,,42,,61,49,60,43,52,39,47,53,,49,,,,69,0,1
CAL-0045,Julius,Dilaura,1995-03-15,75,214,R,R,P,,1,RP,CL,,,,,47,,60,,59,64,26,50,56,44,41,60,,,50,,,54,0,1
CAL-0046,Wilbur,Filzen,2002-09-15,74,213,L,L,P,,1,RP,SU,,,,,48,,57,,44,58,30,50,59,51,49,52,,,59,,,75,0,1
CAL-0047,Lamar,Ehlert,1995-01-15,75,213,R,R,P,,1,RP,SU,,,,,45,,45,,44,60,34,47,53,59,73,,50,44,,,,56,0,1
CAL-0048,Edward,Sluder,1997-05-15,73,189,R,R,P,,1,RP,MR,,,,,45,,43,,55,56,37,37,41,58,61,61,,53,,,,48,0,1
CAL-0049,Stefan,Cassels,2003-09-15,72,225,R,R,P,,1,RP,MR,,,,,50,,42,,54,59,40,63,57,55,72,48,,52,,,,69,0,1
CAL-0050,Loren,Zeleznik,1991-05-15,75,184,L,L,P,,1,RP,MR,,,,,53,,44,,54,54,45,46,58,47,58,49,,54,,,,38,0,1
CAL-0051,Emery,Saglimben,2001-06-15,70,224,R,R,P,,1,RP,MR,,,,,60,,40,,45,55,36,57,53,50,68,53,,42,,,,48,0,1
CAL-0052,Tony,Ehiginator,1994-05-15,72,210,R,R,P,,1,RP,LR,,,,,41,,51,,59,58,61,54,61,54,59,,46,54,,,,67,0,1
CAL-0053,Chang,Joecks,1993-04-15,72,228,R,R,C,,0,,,45,38,41,52,50,55,52,50,52,51,,,,,,,,,,,,46,0,1
CAL-0054,Rickie,Spivey,2002-08-15,71,181,R,R,1B,,0,,,56,52,49,45,47,51,44,50,42,55,,,,,,,,,,,,55,0,1
CAL-0055,Mathew,Faulstich,2003-05-15,72,205,R,R,2B,,0,,,47,43,53,49,53,58,49,50,37,29,,,,,,,,,,,,67,0,1
CAL-0056,Boyce,Berenschot,1996-07-15,68,194,L,L,3B,,0,,,51,49,47,49,48,44,57,50,54,61,,,,,,,,,,,,82,0,1
CAL-0057,Grant,Truslow,1998-09-15,75,200,R,R,SS,,0,,,49,51,59,51,52,52,60,50,37,57,,,,,,,,,,,,65,0,1
CAL-0058,Angel,Coltey,1994-06-15,73,199,L,L,LF,,0,,,49,48,53,47,45,49,44,50,56,36,,,,,,,,,,,,64,0,1
CAL-0059,Delmar,Trotta,2000-06-15,72,200,L,L,CF,,0,,,51,51,65,51,49,60,39,50,48,46,,,,,,,,,,,,50,0,1
CAL-0060,Philip,Sabir,1999-06-15,73,169,L,L,RF,,0,,,48,56,52,54,48,41,48,50,37,54,,,,,,,,,,,,65,0,1
CAL-0061,Garrett,Lupoe,1993-03-15,76,223,R,R,DH,,0,,,49,53,46,51,53,57,42,50,40,57,,,,,,,,,,,,62,0,1
CAL-0062,Luciano,Fugh,2002-02-15,74,182,R,R,C,,0,,,44,43,31,46,56,63,53,50,51,52,,,,,,,,,,,,70,0,1
CAL-0063,Dan,Newbauer,2000-05-15,72,173,R,R,2B,"SS,3B",0,,,46,43,48,45,51,54,59,50,62,48,,,,,,,,,,,,45,0,1
CAL-0064,Shaun,Ocanaz,2002-02-15,74,212,R,R,CF,"LF,RF",0,,,44,43,57,48,50,53,59,50,64,57,,,,,,,,,,,,42,0,1
CAL-0065,Lincoln,Hamano,1998-05-15,75,207,R,R,1B,DH,0,,,45,44,38,46,52,52,63,50,42,46,,,,,,,,,,,,53,0,1
CAL-0066,Tony,Demere,2001-01-15,76,219,R,R,P,,1,SP,SP,,,,,45,,43,,51,57,50,50,57,48,74,,41,59,,,,60,0,1
CAL-0067,Christian,Zappia,1999-03-15,74,221,R,R,P,,1,SP,SP,,,,,49,,33,,39,55,54,44,64,50,63,58,,45,,,,72,0,1
CAL-0068,Salvatore,Crimes,1991-08-15,72,215,R,R,P,,1,SP,SP,,,,,42,,48,,45,44,47,50,47,69,70,,60,49,,,,58,0,1
CAL-0069,Darnell,Peeters,2000-07-15,74,194,R,R,P,,1,SP,SP,,,,,48,,44,,39,57,57,47,53,38,68,43,,,55,,,55,0,1
CAL-0070,Sebastian,Limbert,2001-01-15,70,192,R,R,P,,1,SP,SP,,,,,52,,59,,46,55,55,56,46,50,63,54,,,66,,,60,0,1
CAL-0071,Gonzalo,Govern,1992-08-15,73,181,R,R,P,,1,RP,CL,,,,,49,,51,,62,57,34,53,59,65,68,66,,45,,,,63,0,1
CAL-0072,Denny,Arpin,2000-05-15,77,226,R,R,P,,1,RP,SU,,,,,48,,29,,63,58,36,48,56,36,71,61,,,47,,,68,0,1
CAL-0073,Rory,Gaunt,1991-06-15,71,207,L,L,P,,1,RP,SU,,,,,40,,54,,37,65,32,53,55,49,47,,50,46,,,,66,0,1
CAL-0074,Abe,Ashauer,1997-08-15,75,215,R,R,P,,1,RP,MR,,,,,62,,48,,40,62,25,53,46,62,57,48,,51,,,,58,0,1
CAL-0075,Ezra,Gambee,1999-01-15,76,218,R,R,P,,1,RP,MR,,,,,34,,52,,48,55,25,59,54,41,47,51,,49,,,,72,0,1
CAL-0076,Bert,Rickabaugh,1996-01-15,72,214,R,R,P,,1,RP,MR,,,,,40,,51,,56,56,54,54,53,44,41,,50,60,,,,62,0,1
CAL-0077,Alton,Chinni,2003-07-15,72,216,L,L,P,,1,RP,MR,,,,,42,,48,,59,44,32,53,49,45,65,35,,51,,,,70,0,1
CAL-0078,Daniel,Habermehl,1992-09-15,75,204,R,R,P,,1,RP,LR,,,,,42,,60,,53,49,52,47,47,56,64,52,,47,,,,64,0,1
CAL-0079,Marvin,Thomassen,1997-04-15,74,232,R,R,C,,0,,,46,40,36,51,47,63,53,50,55,53,,,,,,,,,,,,51,0,1
CAL-0080,Simon,Catalli,1995-06-15,71,215,R,R,1B,,0,,,49,52,39,52,48,62,43,50,41,44,,,,,,,,,,,,82,0,1
CAL-0081,Broderick,Donham,1993-05-15,74,207,R,R,2B,,0,,,50,52,63,54,46,53,55,50,65,51,,,,,,,,,,,,77,0,1
CAL-0082,Nolan,Pasquarelli,1996-09-15,72,198,R,R,3B,,0,,,53,56,51,45,47,54,60,50,47,48,,,,,,,,,,,,64,0,1
CAL-0083,Delmar,Pandey,1995-03-15,75,197,R,R,SS,,0,,,50,48,56,51,49,55,56,50,47,53,,,,,,,,,,,,45,0,1
CAL-0084,Parker,Sjerven,1996-04-15,72,224,L,L,LF,,0,,,59,56,49,50,50,47,46,50,57,55,,,,,,,,,,,,40,0,1
CAL-0085,Chang,Medland,1999-04-15,74,206,R,R,CF,,0,,,50,52,57,50,54,54,40,50,58,30,,,,,,,,,,,,69,0,1
CAL-0086,Minh,Brugh,2003-02-15,70,197,L,L,RF,,0,,,45,50,47,52,53,68,44,50,49,46,,,,,,,,,,,,71,0,1
CAL-0087,Glenn,Lore,2003-04-15,75,205,R,R,DH,,0,,,49,57,41,51,51,57,54,50,42,35,,,,,,,,,,,,52,0,1
CAL-0088,Jayson,Babin,1993-04-15,75,186,R,R,C,,0,,,49,43,34,41,54,44,45,50,42,56,,,,,,,,,,,,63,0,1
CAL-0089,Junior,Newfield,1991-05-15,73,222,R,R,2B,"SS,3B",0,,,44,43,49,46,52,57,52,50,54,47,,,,,,,,,,,,68,0,1
CAL-0090,Jerrold,Januszewski,1992-09-15,69,181,L,L,CF,"LF,RF",0,,,44,44,57,44,47,48,59,50,52,49,,,,,,,,,,,,56,0,1
CAL-0091,Bob,Gome,2000-02-15,72,187,R,R,1B,DH,0,,,44,47,37,44,49,59,38,50,48,50,,,,,,,,,,,,45,0,1
CAL-0092,Alonso,Thangavelu,2002-02-15,72,208,R,R,P,,1,SP,SP,,,,,50,,45,,50,49,53,59,53,54,61,57,,,61,,,54,0,1
CAL-0093,Jae,Holthoff,1993-02-15,71,186,L,L,P,,1,SP,SP,,,,,43,,38,,42,50,58,56,49,44,53,,51,39,,,,62,0,1
CAL-0094,Jake,Killin,2002-05-15,73,203,R,R,P,,1,SP,SP,,,,,55,,57,,35,54,63,49,51,56,58,65,,,41,,,60,0,1
CAL-0095,Lloyd,Sparacio,1997-06-15,69,192,R,R,P,,1,SP,SP,,,,,43,,65,,50,48,50,51,51,54,60,46,,,64,,,57,0,1
CAL-0096,Winston,Ambers,1999-09-15,71,212,R,R,P,,1,SP,SP,,,,,42,,53,,43,43,58,56,61,56,48,55,,,47,,,79,0,1
CAL-0097,Damian,Lallave,1999-08-15,73,218,R,R,P,,1,RP,CL,,,,,49,,47,,45,63,32,42,53,46,65,48,,51,,,,48,0,1
CAL-0098,Trenton,Yorty,1991-05-15,72,227,R,R,P,,1,RP,SU,,,,,48,,59,,49,59,39,55,54,45,72,,47,60,,,,55,0,1
CAL-0099,Darell,Birdinground,2001-05-15,72,188,L,L,P,,1,RP,SU,,,,,45,,48,,49,65,25,48,53,57,80,,54,45,,,,58,0,1
CAL-0100,Samuel,Leisten,2003-03-15,74,209,R,R,P,,1,RP,MR,,,,,44,,40,,47,55,31,48,33,56,45,54,,56,,,,70,0,1
CAL-0101,Jeremiah,Charlette,1998-07-15,74,195,L,L,P,,1,RP,MR,,,,,31,,52,,40,59,25,53,61,59,34,35,,60,,,,58,0,1
CAL-0102,Basil,Coroniti,1995-01-15,74,224,R,R,P,,1,RP,MR,,,,,54,,61,,49,53,38,47,55,55,49,56,,64,,,,60,0,1
CAL-0103,Raymond,Cotta,2002-07-15,70,216,R,R,P,,1,RP,MR,,,,,49,,56,,49,65,29,47,54,60,67,54,,55,,,,49,0,1
CAL-0104,Cesar,Mansbach,1992-03-15,71,179,R,R,P,,1,RP,LR,,,,,49,,48,,40,47,61,56,51,53,67,54,,53,,,,48,0,1
CAL-0105,Harlan,Tront,2003-08-15,70,197,L,L,C,,0,,,51,46,40,47,46,54,32,50,66,60,,,,,,,,,,,,58,0,1
CAL-0106,Royce,Delillo,1993-09-15,74,201,R,R,1B,,0,,,55,48,40,55,54,55,46,50,60,59,,,,,,,,,,,,65,0,1
CAL-0107,Norberto,Silerio,1993-02-15,75,208,L,L,2B,,0,,,54,41,55,54,49,61,46,50,51,55,,,,,,,,,,,,60,0,1
CAL-0108,Blake,Blassingame,1998-05-15,75,204,R,R,3B,,0,,,45,58,45,50,50,52,42,50,49,61,,,,,,,,,,,,62,0,1
CAL-0109,Fletcher,Sherrell,2003-08-15,72,227,R,R,SS,,0,,,51,50,56,52,50,62,44,50,56,66,,,,,,,,,,,,64,0,1
CAL-0110,Allan,Guterman,1995-08-15,70,212,R,R,LF,,0,,,55,49,59,51,47,45,66,50,51,36,,,,,,,,,,,,65,0,1
CAL-0111,Ramiro,Meneely,1995-02-15,73,190,L,L,CF,,0,,,52,43,63,49,47,47,54,50,57,43,,,,,,,,,,,,50,0,1
CAL-0112,Jack,Teyler,1993-02-15,72,203,R,R,RF,,0,,,48,49,52,45,50,50,34,50,36,57,,,,,,,,,,,,63,0,1
CAL-0113,Rick,Bolter,1995-05-15,71,192,L,L,DH,,0,,,52,47,42,56,51,64,45,50,25,35,,,,,,,,,,,,75,0,1
CAL-0114,Efren,Hermosilla,1994-02-15,69,204,R,R,C,,0,,,45,47,33,37,50,56,52,50,60,58,,,,,,,,,,,,50,0,1
CAL-0115,Leonard,Tubolino,2002-03-15,74,211,R,R,2B,"SS,3B",0,,,46,39,49,46,46,66,55,50,62,43,,,,,,,,,,,,45,0,1
CAL-0116,Zane,Jore,1993-02-15,74,211,R,R,CF,"LF,RF",0,,,44,43,55,46,51,37,40,50,52,42,,,,,,,,,,,,66,0,1
CAL-0117,Rolf,Lesinski,1996-03-15,74,192,R,R,1B,DH,0,,,44,43,34,40,49,52,55,50,51,30,,,,,,,,,,,,70,0,1
CAL-0118,Armando,Thiele,2000-04-15,71,226,R,R,P,,1,SP,SP,,,,,62,,45,,51,57,62,55,53,56,79,58,,,50,,,58,0,1
CAL-0119,Chad,Zullinger,1995-05-15,73,208,L,L,P,,1,SP,SP,,,,,41,,62,,52,55,51,56,56,46,79,51,,64,,,,68,0,1
CAL-0120,Orval,Vallejo,1992-06-15,72,220,R,R,P,,1,SP,SP,,,,,61,,47,,48,55,46,52,53,64,80,57,,,64,,,79,0,1
CAL-0121,Calvin,Reiger,1997-09-15,73,200,R,R,P,,1,SP,SP,,,,,55,,50,,68,61,50,42,47,58,60,51,,,55,,,56,0,1
CAL-0122,Pat,Tupick,1994-03-15,74,190,L,L,P,,1,SP,SP,,,,,35,,54,,63,59,50,56,51,48,48,51,,52,,,,57,0,1
CAL-0123,Bart,Reinschmidt,1999-02-15,71,200,R,R,P,,1,RP,CL,,,,,48,,51,,52,69,25,56,60,48,63,,44,55,,,,49,0,1
CAL-0124,Kyle,Iatarola,1998-04-15,69,188,R,R,P,,1,RP,SU,,,,,52,,49,,64,56,42,43,58,44,57,60,,,64,,,53,0,1
CAL-0125,Jody,Neria,1994-05-15,72,206,L,L,P,,1,RP,SU,,,,,49,,42,,49,47,26,57,53,53,67,48,,46,,,,52,0,1
CAL-0126,Leandro,Standback,1998-09-15,73,197,R,R,P,,1,RP,MR,,,,,57,,53,,56,58,45,43,52,58,58,38,,,49,,,69,0,1
CAL-0127,Michael,Reuber,1998-07-15,74,184,R,R,P,,1,RP,MR,,,,,36,,59,,41,51,36,53,42,44,52,,54,57,,,,71,0,1
CAL-0128,Keenan,Pier,1999-03-15,73,218,L,L,P,,1,RP,MR,,,,,42,,51,,56,67,34,49,55,46,45,67,,49,,,,81,0,1
CAL-0129,Rick,Leadbeater,1994-06-15,71,204,R,R,P,,1,RP,MR,,,,,67,,53,,51,55,31,59,61,69,36,52,,34,,,,43,0,1
CAL-0130,Enoch,Cranor,2003-01-15,71,221,R,R,P,,1,RP,LR,,,,,48,,46,,50,50,52,54,52,52,50,38,,57,,,,53,0,1
CAL-0131,Wilton,Irmeger,1997-08-15,77,246,R,R,C,,0,,,46,48,40,51,50,62,54,50,53,47,,,,,,,,,,,,81,0,1
CAL-0132,Wilson,Corte,1995-09-15,73,217,S,R,1B,,0,,,44,57,44,51,55,34,39,50,50,50,,,,,,,,,,,,55,0,1
CAL-0133,Ashley,Mccaughey,1991-08-15,73,193,L,L,2B,,0,,,59,51,54,50,48,56,47,50,59,43,,,,,,,,,,,,75,0,1
CAL-0134,Salvatore,Sammartano,1996-04-15,76,211,L,L,3B,,0,,,54,54,50,49,49,61,49,50,65,65,,,,,,,,,,,,57,0,1
CAL-0135,Silas,Hopper,1993-09-15,74,191,L,L,SS,,0,,,47,50,56,47,52,57,67,50,45,53,,,,,,,,,,,,72,0,1
CAL-0136,Marco,Brasel,1994-06-15,73,192,L,L,LF,,0,,,52,51,57,50,48,62,56,50,43,45,,,,,,,,,,,,72,0,1
CAL-0137,Rudolph,Woolhouse,1997-01-15,74,200,R,R,CF,,0,,,57,49,63,43,46,54,44,50,60,36,,,,,,,,,,,,64,0,1
CAL-0138,Scotty,Kuras,1993-07-15,73,201,R,R,RF,,0,,,48,56,56,54,56,55,49,50,25,64,,,,,,,,,,,,53,0,1
CAL-0139,Gregg,Mongan,1999-09-15,72,210,S,R,DH,,0,,,48,54,44,52,51,57,42,50,47,52,,,,,,,,,,,,39,0,1
CAL-0140,Ellis,Pintor,1991-01-15,72,221,R,R,C,,0,,,44,43,37,38,54,57,31,50,48,37,,,,,,,,,,,,61,0,1
CAL-0141,Tanner,Brathwaite,1991-02-15,74,204,R,R,2B,"SS,3B",0,,,51,41,50,46,49,56,50,50,52,54,,,,,,,,,,,,65,0,1
CAL-0142,Hobert,Shorten,1993-02-15,75,198,L,L,CF,"LF,RF",0,,,47,37,53,44,49,52,47,50,57,63,,,,,,,,,,,,66,0,1
CAL-0143,Andre,Delnero,1999-02-15,73,207,L,L,1B,DH,0,,,44,50,38,48,51,63,40,50,47,59,,,,,,,,,,,,54,0,1
CAL-0144,Juan,Ottosen,1992-09-15,73,212,R,R,P,,1,SP,SP,,,,,48,,56,,60,63,57,51,55,82,50,57,,,41,,,62,0,1
CAL-0145,Gus,Songer,1994-09-15,75,195,R,R,P,,1,SP,SP,,,,,50,,54,,62,65,37,50,43,38,78,,38,56,,,,62,0,1
CAL-0146,Marc,Kendzior,2003-02-15,75,214,R,R,P,,1,SP,SP,,,,,46,,70,,50,43,56,52,49,45,59,,61,59,,,,72,0,1
CAL-0147,Wendell,Carchidi,1994-08-15,70,194,R,R,P,,1,SP,SP,,,,,49,,59,,46,51,53,55,48,48,64,,55,41,,,,43,0,1
CAL-0148,Norman,Leeker,2002-04-15,69,236,L,L,P,,1,SP,SP,,,,,52,,54,,53,52,58,47,59,48,70,,54,62,,,,57,0,1
CAL-0149,Hubert,Latin,1994-09-15,74,190,R,R,P,,1,RP,CL,,,,,50,,58,,51,61,26,48,57,50,77,,51,44,,,,57,0,1
CAL-0150,Lowell,Buis,1997-01-15,73,191,R,R,P,,1,RP,SU,,,,,42,,51,,50,51,36,37,56,46,55,63,,,63,,,71,0,1
CAL-0151,Carey,Fedel,1997-08-15,74,189,R,R,P,,1,RP,SU,,,,,41,,55,,56,58,35,52,51,63,61,39,,52,,,,92,0,1
CAL-0152,Taylor,Desiderio,2000-07-15,76,225,R,R,P,,1,RP,MR,,,,,36,,47,,54,68,33,47,44,73,53,,31,57,,,,65,0,1
CAL-0153,Allan,Furney,2001-01-15,75,181,L,L,P,,1,RP,MR,,,,,51,,61,,56,59,38,61,57,47,56,,35,62,,,,49,0,1
CAL-0154,Benjamin,Mieczkowski,1992-02-15,70,216,R,R,P,,1,RP,MR,,,,,46,,59,,48,53,44,44,61,60,69,,44,67,,,,50,0,1
CAL-0155,Burt,Youssefi,1999-06-15,73,166,R,R,P,,1,RP,MR,,,,,45,,45,,55,52,31,52,58,63,71,51,,40,,,,57,0,1
CAL-0156,Genaro,Baffuto,1992-08-15,75,199,L,L,P,,1,RP,LR,,,,,56,,44,,60,60,47,44,43,54,47,,51,55,,,,49,0,1
CAL-0157,Willis,Sucher,1994-04-15,68,230,R,R,C,,0,,,52,51,49,50,43,48,58,50,61,55,,,,,,,,,,,,46,0,1
CAL-0158,Martin,Beekman,2002-04-15,73,217,R,R,1B,,0,,,50,52,50,55,52,61,36,50,69,37,,,,,,,,,,,,52,0,1
CAL-0159,Rudy,Suchanek,2002-05-15,75,213,L,L,2B,,0,,,52,49,55,49,47,57,39,50,36,65,,,,,,,,,,,,47,0,1
CAL-0160,Dudley,Zeilinger,2000-02-15,73,195,L,L,3B,,0,,,48,51,46,46,50,49,53,50,45,53,,,,,,,,,,,,55,0,1
CAL-0161,Arden,Jarrel,1994-09-15,73,180,S,R,SS,,0,,,50,47,52,54,50,52,42,50,52,55,,,,,,,,,,,,70,0,1
CAL-0162,Rodrick,Ableman,1996-08-15,75,209,L,L,LF,,0,,,53,51,54,51,52,52,52,50,53,44,,,,,,,,,,,,69,0,1
CAL-0163,Brett,Scholer,1996-05-15,73,196,R,R,CF,,0,,,45,48,64,50,52,57,48,50,49,46,,,,,,,,,,,,70,0,1
CAL-0164,Vern,Dahle,1998-09-15,76,187,L,L,RF,,0,,,56,55,48,51,57,55,53,50,35,63,,,,,,,,,,,,58,0,1
CAL-0165,Filiberto,Pena,1996-05-15,70,224,L,L,DH,,0,,,52,50,46,56,50,61,49,50,41,50,,,,,,,,,,,,41,0,1
CAL-0166,Guillermo,Kuss,2000-01-15,75,202,R,R,C,,0,,,44,41,39,36,53,57,55,50,72,68,,,,,,,,,,,,68,0,1
CAL-0167,Bill,Thews,1992-09-15,74,207,R,R,2B,"SS,3B",0,,,46,41,45,44,50,60,43,50,55,60,,,,,,,,,,,,59,0,1
CAL-0168,Norman,Kanne,2002-06-15,73,206,L,L,CF,"LF,RF",0,,,48,42,56,40,53,46,47,50,48,51,,,,,,,,,,,,55,0,1
CAL-0169,Alden,Rozzi,1994-02-15,74,216,L,L,1B,DH,0,,,46,50,42,43,51,57,41,50,45,45,,,,,,,,,,,,63,0,1
CAL-0170,Teddy,Molone,1995-01-15,75,199,L,L,P,,1,SP,SP,,,,,51,,52,,47,52,61,42,53,34,39,56,,50,,,,56,0,1
CAL-0171,Alberto,Hotchkiss,1995-05-15,78,178,L,L,P,,1,SP,SP,,,,,45,,45,,41,53,50,53,46,45,80,,51,51,,,,57,0,1
CAL-0172,Wilson,Fortun,1994-08-15,73,191,R,R,P,,1,SP,SP,,,,,72,,54,,48,57,46,56,42,44,32,45,,53,,,,55,0,1
CAL-0173,Jacques,Ziska,2003-02-15,74,227,R,R,P,,1,SP,SP,,,,,33,,50,,57,67,50,55,55,46,67,50,,,50,,,61,0,1
